AppID;Name;Release date;Estimated owners;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Positive;Negative;Achievements;Average playtime forever;Median playtime forever;Developers;Publishers;Categories
1095380;Bepuzzled Kittens Jigsaw Puzzle;11.06.2019;0 - 20000;0;1.99;0;['English'];;WAHR;WAHR;WAHR;7;2;0;0;0;Team Spikkeee;Spikkeee;Single-player
1158910;Dream Detective;04.12.2019;0 - 20000;0;7.99;0;['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Traditional Chinese', 'Portuguese', 'Portuguese - Brazil', 'Spanish - Latin America', 'Korean', 'Simplified Chinese'];https://www.dreamdetectivegame.com/;WAHR;FALSCH;FALSCH;16;8;0;0;0;Century Game;Century Game;Single-player,Steam Cloud
1194940;Tower of Shades;15.01.2020;0 - 20000;0;1.99;0;['English'];;WAHR;FALSCH;FALSCH;35;8;0;0;0;Lame Jam;Lame Jam;Single-player
262150;Vanguard Princess;03.03.2014;200000 - 500000;0;2.49;7;['English'];http://www.eigoMANGA.com/vanguard;WAHR;WAHR;WAHR;2014;841;0;425;244;Tomoaki Sugeno;eigoMANGA;Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Remote Play Together
1192900;IRON REBELLION;09.11.2021;50000 - 100000;0;11.99;0;['English'];https://www.iron-rebellion.com/;WAHR;FALSCH;FALSCH;168;39;0;48;48;Black Beach Studio;Black Beach Studio;Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer
866150;Treasures of the Ancients: Egypt;06.06.2018;50000 - 100000;0;0.99;0;['English'];;WAHR;FALSCH;FALSCH;55;91;0;0;0;Garage Games,Jan Hess;Garage Games;Single-player,Steam Achievements
231330;Deadfall Adventures;15.11.2013;100000 - 200000;0;19.99;0;['English', 'German', 'Polish', 'French', 'Russian'];http://www.deadfall-game.com/;WAHR;FALSCH;WAHR;1716;628;50;324;431;The Farm 51;THQ Nordic;Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards
1056520;Who We Are Now;07.05.2019;0 - 20000;0;14.99;2;['English'];;WAHR;WAHR;WAHR;0;0;0;0;0;Chroma Field Games;Chroma Field Games;Single-player
897820;Reigns: Game of Thrones;18.10.2018;50000 - 100000;0;3.99;0;['English', 'French', 'German', 'Spanish - Spain', 'Italian', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese'];http://www.reignsgame.com;WAHR;WAHR;WAHR;698;203;10;83;76;Nerial;Devolver Digital;Single-player,Steam Achievements,Full controller support
658970;CasinoRPG;16.01.2018;50000 - 100000;0;0;0;['English'];https://casinorpg.com;WAHR;WAHR;FALSCH;138;84;211;2;2;GoldFire Studios;GoldFire Studios;Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases
1777550;Fuyu no Tsuma;15.10.2021;0 - 20000;0;1.99;0;['English'];;WAHR;FALSCH;FALSCH;2;2;0;0;0;?????;?????;Single-player
552520;Far Cry® 5;26.03.2018;2000000 - 5000000;17;59.99;5;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese'];https://far-cry.ubisoft.com/;WAHR;FALSCH;FALSCH;100620;25286;0;1756;1258;Ubisoft Montreal,Red Storm,Ubisoft Shanghai,Ubisoft Toronto,Ubisoft Kiev;Ubisoft;Single-player,Multi-player,Co-op,Online Co-op,Steam Trading Cards,Captions available,In-App Purchases,Partial Controller Support,Includes level editor
